Transformation,Harris_Avg_Repeatability,SIFT_Avg_Repeatability,Winner,Difference
Scale,0.7107408506863453,0.6887632751425344,Harris,0.021977575543810857
Rotation,0.01071049599319122,0.20981862529483752,SIFT,0.1991081293016463
Brightness,0.6690736854608805,0.7706979509922118,SIFT,0.1016242655313313
Blur,0.509913785417874,0.5095320939667463,Harris,0.0003816914511277636
Noise,0.7463374347179708,0.572755909792668,Harris,0.17358152492530277
