Transformation,Harris_Avg_Repeatability,SIFT_Avg_Repeatability,Winner,Difference
Scale,0.6322167685838316,0.7168412607569228,SIFT,0.0846244921730912
Rotation,0.03547065155062617,0.2952119241409234,SIFT,0.2597412725902972
Brightness,0.6168831689812113,0.6609254703839289,SIFT,0.04404230140271759
Blur,0.3650689977780573,0.575944419563071,SIFT,0.21087542178501367
Noise,0.75724486521181,0.591434247267101,Harris,0.16581061794470897
